round,move
1,Scissors
2,Rock
3,Paper
4,Rock
5,Scissors
6,Paper
7,Scissors
8,Rock
9,Paper
10,Rock
11,Rock
12,Paper
13,Scissors
14,Rock
15,Paper
16,Scissors
17,Rock
18,Paper
19,Paper
20,Scissors
21,Paper
22,Paper
23,Scissors
24,Rock
25,Paper
26,Scissors
27,Rock
28,Paper
29,Paper
30,Paper
31,Paper
32,Rock
33,Paper
34,Paper
35,Scissors
36,Rock
37,Paper
38,Scissors
39,Scissors
40,Rock
41,Rock
42,Rock
43,Paper
44,Scissors
45,Scissors
46,Scissors
47,Scissors
48,Rock
49,Paper
50,Scissors
51,Rock
52,Paper
53,Scissors
54,Paper
55,Scissors
56,Rock
57,Paper
58,Scissors
59,Rock
60,Paper
61,Paper
62,Scissors
63,Rock
64,Paper
65,Paper
66,Scissors
67,Rock
68,Scissors
69,Scissors
70,Rock
71,Rock
72,Scissors
73,Rock
74,Paper
75,Paper
76,Scissors
77,Scissors
78,Rock
79,Rock
80,Rock
81,Paper
82,Scissors
83,Paper
84,Scissors
85,Rock
86,Paper
87,Scissors
88,Rock
89,Paper
90,Scissors
91,Scissors
92,Rock
93,Rock
94,Paper
95,Scissors
96,Rock
97,Paper
98,Scissors
99,Rock
100,Paper
101,Scissors
102,Rock
103,Rock
104,Scissors
105,Paper
106,Scissors
107,Rock
108,Paper
109,Paper
110,Rock
111,Paper
112,Scissors
113,Scissors
114,Paper
115,Scissors
116,Rock
117,Paper
118,Scissors
119,Rock
120,Rock
121,Paper
122,Paper
123,Scissors
124,Scissors
125,Scissors
126,Rock
127,Paper
128,Paper
129,Paper
130,Scissors
131,Scissors
132,Rock
133,Paper
134,Scissors
135,Rock
136,Paper
137,Scissors
138,Scissors
139,Rock
140,Rock
141,Paper
142,Scissors
143,Rock
144,Paper
145,Scissors
146,Scissors
147,Scissors
148,Paper
149,Scissors
150,Paper
151,Paper
152,Scissors
153,Rock
154,Scissors
155,Rock
156,Paper
157,Rock
158,Rock
159,Paper
160,Scissors
161,Rock
162,Paper
163,Rock
164,Rock
165,Rock
166,Paper
167,Scissors
168,Rock
169,Paper
170,Scissors
171,Paper
172,Scissors
173,Rock
174,Paper
175,Scissors
176,Rock
177,Rock
178,Paper
179,Paper
180,Scissors
181,Scissors
182,Rock
183,Paper
184,Scissors
185,Rock
186,Paper
187,Scissors
188,Rock
189,Rock
190,Paper
191,Paper
192,Paper
193,Scissors
194,Scissors
195,Rock
196,Scissors
197,Scissors
198,Rock
199,Paper
200,Scissors
201,Rock
202,Rock
203,Paper
204,Paper
205,Scissors
206,Rock
207,Scissors
208,Scissors
209,Rock
210,Rock
211,Paper
212,Scissors
213,Paper
214,Paper
215,Scissors
216,Paper
217,Scissors
218,Rock
219,Paper
220,Paper
221,Paper
222,Rock
223,Paper
224,Rock
225,Paper
226,Rock
227,Paper
228,Scissors
229,Rock
230,Rock
231,Paper
232,Scissors
233,Rock
234,Rock
235,Scissors
236,Rock
237,Scissors
238,Rock
239,Paper
240,Rock
241,Rock
242,Paper
243,Scissors
244,Rock
245,Paper
246,Scissors
247,Rock
248,Paper
249,Paper
250,Scissors
251,Rock
252,Scissors
253,Scissors
254,Rock
255,Paper
256,Scissors
257,Rock
258,Paper
259,Scissors
260,Rock
261,Paper
262,Rock
263,Paper
264,Paper
265,Scissors
266,Rock
267,Paper
268,Scissors
269,Scissors
270,Rock
271,Paper
272,Scissors
273,Scissors
274,Rock
275,Scissors
276,Rock
277,Scissors
278,Paper
279,Paper
280,Paper
281,Paper
282,Paper
283,Scissors
284,Scissors
285,Rock
286,Paper
287,Scissors
288,Rock
289,Paper
290,Scissors
291,Rock
292,Paper
293,Paper
294,Scissors
295,Rock
296,Paper
297,Scissors
298,Rock
299,Rock
300,Scissors
301,Rock
302,Rock
303,Rock
304,Paper
305,Scissors
306,Rock
307,Rock
308,Paper
309,Scissors
310,Scissors
311,Rock
312,Paper
313,Scissors
314,Rock
315,Paper
316,Scissors
317,Scissors
318,Scissors
319,Paper
320,Scissors
321,Rock
322,Rock
323,Paper
324,Paper
325,Scissors
326,Rock
327,Scissors
328,Paper
329,Scissors
330,Rock
331,Paper
332,Paper
333,Paper
334,Scissors
335,Rock
336,Rock
337,Paper
338,Paper
339,Scissors
340,Rock
341,Scissors
342,Scissors
343,Rock
344,Paper
345,Paper
346,Paper
347,Rock
348,Paper
349,Paper
350,Scissors
351,Rock
352,Scissors
353,Rock
354,Rock
355,Scissors
356,Rock
357,Paper
358,Scissors
359,Rock
360,Paper
361,Paper
362,Scissors
363,Rock
364,Scissors
365,Rock
366,Scissors
367,Rock
368,Rock
369,Paper
370,Scissors
371,Scissors
372,Rock
373,Scissors
374,Paper
375,Paper
376,Scissors
377,Scissors
378,Scissors
379,Rock
380,Paper
381,Paper
382,Scissors
383,Rock
384,Paper
385,Paper
386,Scissors
387,Rock
388,Rock
389,Paper
390,Paper
391,Scissors
392,Rock
393,Paper
394,Scissors
395,Scissors
396,Rock
397,Paper
398,Scissors
399,Rock
400,Paper
401,Scissors
402,Rock
403,Paper
404,Scissors
405,Scissors
406,Paper
407,Scissors
408,Rock
409,Paper
410,Scissors
411,Rock
412,Scissors
413,Rock
414,Paper
415,Scissors
416,Rock
417,Rock
418,Scissors
419,Rock
420,Paper
421,Scissors
422,Scissors
423,Rock
424,Paper
425,Paper
426,Paper
427,Paper
428,Scissors
429,Scissors
430,Scissors
431,Scissors
432,Paper
433,Paper
434,Scissors
435,Rock
436,Paper
437,Scissors
438,Scissors
439,Rock
440,Rock
441,Paper
442,Scissors
443,Rock
444,Paper
445,Scissors
446,Rock
447,Scissors
448,Scissors
449,Rock
450,Scissors
451,Rock
452,Rock
453,Scissors
454,Rock
455,Paper
456,Scissors
457,Rock
458,Paper
459,Scissors
460,Rock
461,Paper
462,Scissors
463,Rock
464,Paper
465,Scissors
466,Rock
467,Rock
468,Paper
469,Paper
470,Paper
471,Scissors
472,Rock
473,Paper
474,Rock
475,Scissors
476,Rock
477,Paper
478,Scissors
479,Rock
480,Scissors
481,Rock
482,Paper
483,Scissors
484,Rock
485,Paper
486,Scissors
487,Scissors
488,Rock
489,Paper
490,Scissors
491,Scissors
492,Rock
493,Paper
494,Scissors
495,Rock
496,Paper
497,Scissors
498,Paper
499,Scissors
500,Scissors
501,Scissors
502,Rock
503,Scissors
504,Rock
505,Paper
506,Rock
507,Paper
508,Scissors
509,Rock
510,Paper
511,Paper
512,Scissors
513,Rock
514,Scissors
515,Rock
516,Scissors
517,Rock
518,Scissors
519,Rock
520,Paper
521,Rock
522,Scissors
523,Rock
524,Rock
525,Scissors
526,Rock
527,Rock
528,Paper
529,Scissors
530,Rock
531,Paper
532,Scissors
533,Rock
534,Scissors
535,Rock
536,Paper
537,Paper
538,Scissors
539,Scissors
540,Paper
541,Scissors
542,Rock
543,Paper
544,Scissors
545,Scissors
546,Rock
547,Scissors
548,Rock
549,Scissors
550,Rock
551,Paper
552,Scissors
553,Rock
554,Paper
555,Paper
556,Scissors
557,Scissors
558,Paper
559,Scissors
560,Rock
561,Paper
562,Scissors
563,Rock
564,Paper
565,Rock
566,Paper
567,Scissors
568,Rock
569,Paper
570,Scissors
571,Rock
572,Rock
573,Rock
574,Paper
575,Scissors
576,Rock
577,Scissors
578,Paper
579,Scissors
580,Scissors
581,Rock
582,Paper
583,Paper
584,Scissors
585,Rock
586,Paper
587,Scissors
588,Rock
589,Paper
590,Paper
591,Scissors
592,Rock
593,Paper
594,Paper
595,Paper
596,Paper
597,Scissors
598,Scissors
599,Rock
600,Paper
601,Paper
602,Paper
603,Scissors
604,Rock
605,Paper
606,Scissors
607,Paper
608,Scissors
609,Rock
610,Paper
611,Scissors
612,Rock
613,Paper
614,Paper
615,Scissors
616,Rock
617,Scissors
618,Rock
619,Paper
620,Scissors
621,Rock
622,Paper
623,Scissors
624,Rock
625,Paper
626,Scissors
627,Rock
628,Rock
629,Paper
630,Paper
631,Scissors
632,Paper
633,Scissors
634,Scissors
635,Scissors
636,Rock
637,Paper
638,Paper
639,Scissors
640,Rock
641,Rock
642,Rock
643,Paper
644,Scissors
645,Rock
646,Paper
647,Paper
648,Rock
649,Paper
650,Scissors
651,Rock
652,Scissors
653,Rock
654,Scissors
655,Rock
656,Rock
657,Paper
658,Scissors
659,Rock
660,Rock
661,Scissors
662,Scissors
663,Rock
664,Paper
665,Scissors
666,Rock
667,Paper
668,Scissors
669,Paper
670,Paper
